Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0016,51,Female,Sales,Healthcare,13,Remote,44,11,4,Low,Anxiety,No,No Change,5,Satisfied,4,Weekly,Average,Africa
EMP0017,46,Prefer not to say,HR,Education,3,Onsite,52,9,2,Medium,None,No,No Change,1,Satisfied,1,Weekly,Good,Africa
EMP0018,64,Non-binary,Data Scientist,Consulting,20,Onsite,37,8,3,Low,Burnout,Yes,Decrease,5,Neutral,5,Weekly,Good,Europe
EMP0019,38,Non-binary,Software Engineer,IT,30,Remote,36,6,1,High,Anxiety,No,No Change,3,Satisfied,2,Weekly,Good,Oceania
EMP0020,34,Male,Software Engineer,Consulting,13,Remote,59,4,3,Medium,Anxiety,No,Decrease,4,Neutral,1,Daily,Average,South America
EMP0021,43,Female,Sales,Retail,33,Hybrid,21,1,2,Low,Burnout,No,Increase,2,Satisfied,1,Weekly,Poor,South America
EMP0022,51,Non-binary,Sales,Education,21,Onsite,54,12,3,Medium,Depression,No,Decrease,3,Unsatisfied,4,Daily,Poor,North America
EMP0023,40,Prefer not to say,Sales,Finance,21,Onsite,57,1,3,Low,Depression,Yes,Increase,3,Satisfied,4,Daily,Average,Africa
EMP0024,44,Non-binary,Marketing,Consulting,11,Onsite,22,12,5,Low,Depression,No,No Change,2,Neutral,3,Weekly,Poor,Asia
EMP0025,51,Male,Sales,Finance,6,Remote,54,15,3,Low,Burnout,No,Increase,2,Neutral,4,Daily,Average,North America
EMP0026,58,Male,Project Manager,Healthcare,23,Onsite,21,14,4,High,Burnout,No,No Change,4,Neutral,3,None,Good,South America
EMP0027,36,Non-binary,Project Manager,Retail,30,Onsite,24,12,3,High,None,No,Decrease,4,Unsatisfied,4,None,Poor,North America
EMP0028,47,Female,Project Manager,Retail,31,Onsite,56,4,4,Low,Depression,No,No Change,4,Unsatisfied,4,None,Poor,Oceania
EMP0029,53,Prefer not to say,Sales,IT,22,Onsite,33,10,3,High,Depression,Yes,Decrease,4,Satisfied,1,Daily,Poor,Europe
EMP0030,31,Male,Software Engineer,Healthcare,34,Remote,25,15,2,High,Depression,Yes,No Change,3,Satisfied,1,Weekly,Poor,North America
EMP0031,43,Female,Data Scientist,IT,22,Onsite,20,11,1,Low,Anxiety,Yes,No Change,5,Neutral,2,Weekly,Average,Asia
EMP0032,36,Prefer not to say,Marketing,Manufacturing,4,Hybrid,33,14,2,Medium,Depression,No,Decrease,3,Satisfied,5,None,Average,North America
EMP0033,40,Prefer not to say,Project Manager,Manufacturing,29,Remote,20,14,2,Medium,Anxiety,Yes,Decrease,5,Satisfied,5,Daily,Good,North America
EMP0034,38,Male,Software Engineer,Healthcare,27,Remote,26,9,3,Medium,Anxiety,Yes,No Change,5,Neutral,4,Daily,Average,North America
EMP0035,36,Male,Designer,IT,24,Hybrid,22,6,4,Medium,Depression,No,No Change,1,Unsatisfied,3,Weekly,Average,Europe
EMP0036,41,Prefer not to say,Sales,Healthcare,28,Hybrid,57,8,4,Low,None,Yes,No Change,1,Neutral,5,None,Poor,Europe
EMP0037,33,Male,Sales,Finance,10,Onsite,30,12,1,Low,Depression,Yes,Decrease,5,Satisfied,3,None,Poor,Asia
EMP0038,40,Female,Designer,Healthcare,18,Remote,47,14,2,Low,None,Yes,Increase,2,Satisfied,5,Daily,Good,Asia
EMP0039,66,Non-binary,Sales,IT,21,Onsite,48,12,4,Low,Anxiety,Yes,No Change,3,Neutral,1,Weekly,Average,Africa
EMP0040,38,Male,Marketing,Consulting,20,Hybrid,20,1,3,High,None,No,Increase,1,Unsatisfied,5,Weekly,Poor,Asia
EMP0041,29,Non-binary,Data Scientist,IT,22,Remote,44,15,4,High,Burnout,No,Decrease,1,Neutral,5,Daily,Poor,Europe
EMP0042,49,Male,Project Manager,IT,14,Onsite,29,13,2,Low,None,No,No Change,1,Unsatisfied,5,None,Good,North America
EMP0043,39,Prefer not to say,Project Manager,Finance,26,Remote,58,6,3,High,None,Yes,Increase,3,Unsatisfied,3,Weekly,Poor,Europe
EMP0044,43,Female,Designer,Manufacturing,12,Remote,53,12,4,Medium,Depression,Yes,No Change,1,Unsatisfied,3,None,Average,Europe
EMP0045,41,Prefer not to say,HR,Retail,13,Remote,23,6,3,High,Anxiety,Yes,No Change,5,Neutral,2,Daily,Good,South America
EMP0046,49,Male,Marketing,Retail,24,Remote,42,8,2,Medium,Burnout,No,No Change,2,Neutral,3,Daily,Poor,North America
EMP0047,56,Male,Data Scientist,Education,33,Remote,35,15,1,Medium,Burnout,Yes,Decrease,1,Unsatisfied,5,Weekly,Good,South America
EMP0048,28,Female,Sales,Consulting,4,Remote,39,2,5,High,None,No,Decrease,1,Unsatisfied,4,None,Good,Oceania
EMP0049,53,Female,HR,Healthcare,7,Onsite,29,9,4,Low,None,No,Increase,2,Neutral,3,Daily,Poor,Africa
EMP0050,42,Male,Project Manager,Retail,11,Onsite,37,3,4,Medium,Burnout,No,No Change,1,Satisfied,3,None,Average,Europe
EMP0051,34,Non-binary,HR,Manufacturing,34,Onsite,28,10,4,High,Anxiety,Yes,Decrease,5,Satisfied,4,Daily,Good,Europe
EMP0052,27,Male,Sales,Consulting,25,Remote,31,9,5,Low,None,No,Decrease,4,Satisfied,1,None,Good,South America
EMP0053,30,Female,Software Engineer,Retail,3,Onsite,26,14,3,Medium,None,No,Decrease,2,Satisfied,2,Daily,Good,South America
EMP0054,41,Prefer not to say,Project Manager,Healthcare,34,Onsite,46,15,2,Medium,Depression,Yes,No Change,1,Neutral,1,None,Average,Asia
EMP0055,38,Female,Software Engineer,Education,5,Hybrid,55,6,1,Medium,Burnout,Yes,Decrease,4,Satisfied,1,Daily,Poor,Asia
EMP0056,57,Non-binary,Project Manager,Education,8,Hybrid,47,12,3,Low,Anxiety,No,Increase,3,Neutral,5,Daily,Good,Africa
EMP0057,29,Male,Software Engineer,IT,14,Remote,48,13,5,Low,Depression,Yes,Increase,4,Neutral,5,None,Good,Asia
EMP0058,53,Prefer not to say,HR,IT,7,Onsite,49,6,5,Low,None,No,No Change,4,Satisfied,3,None,Average,South America
EMP0059,42,Prefer not to say,Designer,Manufacturing,31,Remote,51,4,1,Low,None,No,Decrease,2,Unsatisfied,3,Daily,Average,Oceania
EMP0060,44,Prefer not to say,Data Scientist,IT,17,Remote,57,13,2,Medium,None,Yes,No Change,1,Satisfied,5,Daily,Poor,Oceania
EMP0061,34,Non-binary,Sales,Consulting,4,Hybrid,33,14,4,Medium,Depression,Yes,No Change,1,Unsatisfied,2,Daily,Good,Europe
EMP0062,48,Female,Sales,IT,14,Remote,30,15,2,Medium,Depression,Yes,Increase,5,Unsatisfied,5,Daily,Good,North America
EMP0063,28,Non-binary,Project Manager,Finance,20,Hybrid,28,4,3,Medium,Depression,No,No Change,3,Satisfied,2,None,Poor,Asia
EMP0064,51,Female,Software Engineer,Healthcare,5,Onsite,31,15,3,Medium,Depression,Yes,No Change,2,Satisfied,5,None,Good,South America
EMP0065,37,Prefer not to say,Data Scientist,Healthcare,18,Hybrid,37,0,4,Medium,Burnout,No,No Change,2,Unsatisfied,2,None,Good,Oceania
EMP0066,40,Male,HR,Finance,9,Remote,31,3,4,Medium,Anxiety,Yes,Increase,4,Satisfied,4,Weekly,Poor,Europe
EMP0067,48,Non-binary,Software Engineer,IT,6,Hybrid,46,3,1,Medium,Burnout,No,Increase,3,Satisfied,2,Daily,Good,Oceania
EMP0068,34,Female,Marketing,Education,32,Remote,20,6,2,High,None,Yes,Decrease,3,Unsatisfied,4,Weekly,Poor,Oceania
EMP0069,37,Female,Designer,Manufacturing,23,Onsite,51,8,2,High,Anxiety,Yes,Decrease,3,Neutral,1,Daily,Average,South America
EMP0070,32,Female,Marketing,Finance,6,Remote,28,13,2,Low,None,No,No Change,5,Neutral,1,Daily,Good,North America
EMP0071,30,Prefer not to say,Marketing,Consulting,23,Onsite,39,4,4,Medium,Anxiety,No,Increase,4,Satisfied,1,Weekly,Average,North America
EMP0072,63,Prefer not to say,Designer,Consulting,25,Remote,29,13,1,Medium,Depression,Yes,No Change,2,Neutral,2,Weekly,Average,Oceania
EMP0073,27,Prefer not to say,Designer,Retail,15,Onsite,30,14,5,High,Burnout,Yes,No Change,2,Unsatisfied,1,Weekly,Good,Africa
EMP0074,35,Non-binary,Software Engineer,IT,29,Hybrid,53,7,3,High,Anxiety,Yes,Decrease,1,Neutral,1,None,Poor,Africa
EMP0075,39,Prefer not to say,Project Manager,Consulting,35,Onsite,57,10,2,Medium,Burnout,No,No Change,3,Neutral,3,Weekly,Poor,Africa
EMP0076,30,Male,Marketing,Retail,27,Onsite,49,3,5,High,Anxiety,Yes,No Change,4,Satisfied,3,None,Good,Asia
EMP0077,48,Non-binary,HR,Consulting,4,Onsite,55,8,4,High,Depression,No,No Change,1,Unsatisfied,2,Weekly,Good,Europe
EMP0078,29,Female,Marketing,Healthcare,25,Remote,37,10,5,Medium,Anxiety,Yes,No Change,1,Satisfied,1,Daily,Average,South America
EMP0079,48,Male,Data Scientist,Manufacturing,15,Remote,51,5,2,High,Burnout,Yes,Increase,2,Neutral,1,Daily,Average,South America
EMP0080,39,Male,Project Manager,Consulting,21,Hybrid,21,7,5,Low,Burnout,No,No Change,4,Unsatisfied,3,Weekly,Average,Asia
EMP0081,54,Female,Data Scientist,Education,5,Hybrid,21,10,3,High,Burnout,No,Decrease,4,Satisfied,4,None,Poor,Asia
EMP0082,56,Non-binary,Software Engineer,Finance,33,Onsite,44,9,4,High,Depression,Yes,Increase,3,Neutral,2,Daily,Poor,South America
EMP0083,33,Prefer not to say,HR,Education,32,Hybrid,26,10,3,High,Depression,Yes,Increase,5,Unsatisfied,2,Weekly,Good,North America
EMP0084,30,Female,Project Manager,Healthcare,15,Hybrid,43,6,4,High,Burnout,Yes,Increase,5,Unsatisfied,3,None,Poor,Europe
EMP0085,28,Male,Designer,Retail,9,Hybrid,42,14,4,Low,None,Yes,Decrease,2,Unsatisfied,5,None,Good,Oceania
EMP0086,66,Male,Designer,Finance,20,Hybrid,44,8,4,Low,Burnout,No,No Change,2,Unsatisfied,4,Daily,Poor,Asia
EMP0087,33,Prefer not to say,Project Manager,Manufacturing,10,Onsite,27,0,1,Low,Anxiety,No,Decrease,1,Satisfied,1,Weekly,Poor,North America
EMP0088,41,Prefer not to say,Data Scientist,Education,26,Hybrid,43,5,1,Medium,None,Yes,Increase,2,Unsatisfied,2,Weekly,Poor,Africa
EMP0089,36,Female,Designer,Consulting,11,Remote,38,0,5,High,Anxiety,Yes,Increase,5,Neutral,2,None,Poor,North America
EMP0090,28,Prefer not to say,Marketing,Healthcare,23,Hybrid,38,4,4,Low,Depression,Yes,Increase,5,Unsatisfied,4,Daily,Poor,Oceania
EMP0091,48,Female,Data Scientist,Retail,2,Onsite,57,4,4,Medium,Depression,No,No Change,4,Unsatisfied,2,Weekly,Average,Africa
EMP0092,29,Female,Software Engineer,Manufacturing,9,Onsite,60,3,1,High,Burnout,No,Decrease,3,Satisfied,5,Weekly,Good,South America
EMP0093,30,Male,Data Scientist,IT,31,Onsite,29,0,5,Medium,Burnout,No,Increase,3,Satisfied,5,None,Poor,Asia
EMP0094,54,Non-binary,Data Scientist,Education,34,Remote,54,12,4,High,Depression,Yes,Decrease,2,Satisfied,4,None,Average,Europe
EMP0095,51,Non-binary,Project Manager,Education,11,Onsite,31,11,5,High,None,No,Decrease,2,Neutral,4,Weekly,Average,Africa
EMP0096,40,Female,Project Manager,Manufacturing,2,Remote,54,8,5,Low,Burnout,No,Decrease,1,Satisfied,3,None,Good,Asia
EMP0097,36,Male,Data Scientist,Healthcare,31,Hybrid,33,11,1,High,Burnout,No,Decrease,5,Neutral,5,Weekly,Poor,Africa
EMP0098,31,Male,Designer,IT,32,Hybrid,25,1,4,Low,Burnout,No,Increase,4,Neutral,3,Weekly,Average,South America
EMP0099,41,Prefer not to say,Data Scientist,Healthcare,19,Onsite,21,15,1,Low,Burnout,No,No Change,4,Satisfied,5,Daily,Good,Asia
EMP0100,34,Male,Project Manager,IT,12,Hybrid,45,10,2,Medium,None,No,Decrease,3,Satisfied,4,Daily,Good,Africa
EMP0101,44,Prefer not to say,Designer,Manufacturing,32,Onsite,53,5,1,Medium,Depression,No,Increase,5,Satisfied,1,None,Poor,Asia
EMP0102,65,Prefer not to say,Sales,Consulting,9,Hybrid,46,12,1,High,Burnout,No,Increase,2,Neutral,2,Daily,Poor,Africa
EMP0103,41,Prefer not to say,Sales,IT,3,Hybrid,22,9,4,High,Burnout,No,No Change,4,Satisfied,4,None,Good,Africa
EMP0104,40,Male,Software Engineer,Finance,18,Hybrid,60,12,4,High,Depression,Yes,Increase,4,Satisfied,5,None,Good,Africa
EMP0105,51,Female,Designer,Education,30,Hybrid,42,2,4,Low,Depression,Yes,Decrease,4,Satisfied,3,Weekly,Average,Africa
EMP0106,35,Non-binary,Data Scientist,Healthcare,18,Onsite,60,2,3,High,Burnout,Yes,Increase,3,Neutral,3,Daily,Good,South America
EMP0107,52,Prefer not to say,HR,IT,25,Onsite,35,14,1,Medium,Anxiety,Yes,Decrease,4,Neutral,2,Daily,Good,South America
EMP0108,52,Prefer not to say,Software Engineer,Healthcare,27,Hybrid,44,2,2,High,Anxiety,No,Decrease,2,Satisfied,5,Weekly,Poor,Europe
EMP0109,63,Prefer not to say,Software Engineer,Healthcare,2,Remote,50,2,4,Medium,Burnout,No,No Change,1,Satisfied,2,Weekly,Poor,Oceania
EMP0110,33,Male,Data Scientist,Finance,4,Remote,22,7,5,Low,Burnout,No,No Change,1,Neutral,5,Daily,Good,Asia
EMP0111,40,Female,Data Scientist,Education,29,Hybrid,29,13,3,High,Anxiety,Yes,Increase,5,Unsatisfied,5,Weekly,Average,Africa
EMP0112,46,Male,HR,Finance,30,Remote,34,8,5,Low,Burnout,No,Decrease,5,Unsatisfied,1,Weekly,Good,Africa
EMP0113,40,Female,Marketing,Retail,10,Remote,30,7,1,Low,Depression,Yes,Increase,1,Satisfied,5,None,Poor,Europe
EMP0114,38,Prefer not to say,Data Scientist,Retail,21,Onsite,53,0,3,Low,None,Yes,Decrease,1,Neutral,5,Daily,Poor,Europe
EMP0115,32,Female,Designer,Healthcare,25,Remote,29,5,2,High,Anxiety,No,No Change,5,Neutral,3,None,Poor,Oceania
EMP0116,32,Male,Marketing,Education,35,Onsite,27,1,3,Medium,Anxiety,Yes,No Change,3,Unsatisfied,3,Weekly,Good,South America
EMP0117,39,Prefer not to say,Project Manager,Finance,5,Onsite,44,14,3,Medium,Burnout,No,Increase,5,Satisfied,3,Daily,Good,North America
EMP0118,31,Female,Data Scientist,Education,25,Remote,42,13,2,High,Burnout,No,Increase,5,Satisfied,3,Daily,Good,Europe
EMP0119,52,Female,Data Scientist,Manufacturing,1,Hybrid,22,4,2,Medium,Burnout,Yes,Increase,5,Satisfied,3,Daily,Average,Europe
EMP0120,32,Prefer not to say,Project Manager,Consulting,27,Hybrid,34,13,2,Medium,None,Yes,Decrease,2,Unsatisfied,5,Daily,Average,Africa
EMP0121,40,Prefer not to say,Project Manager,Manufacturing,29,Onsite,51,13,2,High,Anxiety,No,Decrease,2,Neutral,5,Daily,Average,South America
EMP0122,40,Non-binary,Marketing,Retail,18,Hybrid,48,6,5,High,Depression,Yes,No Change,2,Unsatisfied,3,None,Good,Europe
EMP0123,30,Male,Software Engineer,Healthcare,35,Onsite,30,10,2,High,Anxiety,Yes,No Change,3,Unsatisfied,1,None,Good,Africa
EMP0124,50,Prefer not to say,Sales,Consulting,14,Onsite,59,7,2,Low,None,Yes,Increase,1,Satisfied,5,Weekly,Average,North America
EMP0125,29,Non-binary,HR,Manufacturing,27,Remote,26,14,2,High,Depression,Yes,No Change,1,Unsatisfied,4,Daily,Average,South America
EMP0126,53,Prefer not to say,Data Scientist,Finance,27,Hybrid,60,1,3,Low,Burnout,No,Increase,5,Unsatisfied,4,None,Average,South America
EMP0127,55,Female,Marketing,Retail,8,Onsite,38,2,2,Medium,Burnout,Yes,Decrease,2,Unsatisfied,1,Daily,Good,North America
EMP0128,30,Female,Project Manager,Finance,21,Remote,34,0,5,High,None,Yes,Decrease,2,Unsatisfied,2,None,Average,Europe
EMP0129,28,Female,Designer,Consulting,15,Onsite,46,12,4,Medium,Burnout,No,No Change,2,Unsatisfied,2,Daily,Poor,Europe
EMP0130,41,Female,Sales,Retail,21,Hybrid,35,2,3,Low,None,Yes,Decrease,5,Unsatisfied,3,None,Average,Oceania
EMP0131,57,Female,Designer,Education,16,Remote,23,9,1,Medium,None,No,No Change,5,Neutral,5,Weekly,Good,Africa
EMP0132,49,Female,Marketing,Manufacturing,26,Remote,28,15,5,Low,Burnout,Yes,Increase,2,Unsatisfied,4,Weekly,Average,Africa
EMP0133,28,Male,Marketing,Retail,4,Onsite,57,10,3,Medium,None,No,No Change,4,Neutral,2,Weekly,Good,South America
EMP0134,27,Non-binary,Marketing,Manufacturing,29,Hybrid,29,4,1,Low,None,Yes,Decrease,4,Satisfied,2,Weekly,Good,Europe
EMP0135,65,Male,Marketing,Finance,2,Hybrid,39,1,4,Medium,None,No,Increase,5,Unsatisfied,2,Weekly,Poor,Oceania
EMP0136,32,Non-binary,Marketing,IT,26,Remote,46,4,5,Medium,Burnout,No,Increase,4,Unsatisfied,5,None,Good,Oceania
EMP0137,33,Male,Data Scientist,Healthcare,14,Remote,26,9,2,High,Burnout,No,No Change,4,Neutral,5,Daily,Good,South America
EMP0138,50,Non-binary,Sales,IT,10,Remote,32,4,4,Medium,None,Yes,No Change,5,Satisfied,5,Weekly,Poor,Oceania
EMP0139,32,Non-binary,Data Scientist,Education,34,Remote,30,11,3,High,None,No,Increase,3,Unsatisfied,5,None,Poor,North America
EMP0140,53,Non-binary,Project Manager,Education,11,Hybrid,48,3,5,Low,Anxiety,Yes,Decrease,5,Satisfied,1,Weekly,Average,Asia
EMP0141,39,Non-binary,Project Manager,Education,12,Onsite,44,13,1,High,Anxiety,Yes,Decrease,1,Satisfied,5,Weekly,Poor,Africa
EMP0142,49,Female,Project Manager,Healthcare,29,Hybrid,49,15,5,Low,Burnout,Yes,Decrease,5,Neutral,4,None,Poor,Asia
EMP0143,47,Female,Designer,Manufacturing,11,Hybrid,23,0,5,High,None,No,No Change,2,Unsatisfied,1,Weekly,Poor,Europe
EMP0144,39,Prefer not to say,Designer,Finance,3,Onsite,33,6,5,Low,Burnout,No,No Change,4,Satisfied,2,Daily,Good,North America
EMP0145,30,Non-binary,HR,Education,18,Remote,35,15,5,High,Anxiety,No,No Change,4,Unsatisfied,2,Daily,Average,Asia
EMP0146,35,Non-binary,Marketing,Consulting,5,Remote,41,8,3,Medium,Depression,Yes,Decrease,4,Satisfied,4,Weekly,Poor,Europe
EMP0147,42,Prefer not to say,Software Engineer,Healthcare,3,Hybrid,34,12,2,Low,Depression,No,Increase,4,Neutral,3,Daily,Average,Africa
EMP0148,31,Male,Designer,Finance,14,Remote,44,10,1,Low,Anxiety,Yes,No Change,1,Unsatisfied,5,Daily,Average,North America
EMP0149,35,Female,Designer,IT,10,Onsite,52,8,4,High,Depression,Yes,Decrease,3,Satisfied,4,Daily,Good,Oceania
EMP0150,44,Male,Designer,Consulting,17,Onsite,57,11,2,Low,Burnout,Yes,Decrease,1,Unsatisfied,3,Weekly,Good,Oceania
EMP0151,51,Female,Software Engineer,Consulting,34,Remote,32,15,3,High,Anxiety,Yes,Decrease,2,Unsatisfied,3,Weekly,Average,Oceania
EMP0152,39,Female,Designer,Consulting,20,Remote,31,6,4,Low,Burnout,No,No Change,3,Satisfied,4,Daily,Poor,Oceania
EMP0153,55,Male,Software Engineer,Healthcare,29,Hybrid,58,15,1,Medium,Burnout,No,Increase,2,Unsatisfied,2,Weekly,Poor,Africa
EMP0154,43,Female,Data Scientist,Consulting,31,Remote,26,9,1,Medium,Depression,Yes,No Change,2,Unsatisfied,2,None,Poor,Asia
EMP0155,53,Male,Software Engineer,Consulting,17,Remote,57,5,1,Low,None,Yes,No Change,2,Unsatisfied,4,Weekly,Average,North America
EMP0156,46,Female,Project Manager,Healthcare,31,Onsite,20,8,1,Low,None,No,Decrease,4,Neutral,1,None,Good,North America
EMP0157,65,Prefer not to say,Project Manager,Finance,23,Hybrid,26,0,4,High,None,No,Decrease,1,Satisfied,2,Weekly,Average,South America
EMP0158,38,Male,Data Scientist,Finance,21,Hybrid,43,15,3,High,Depression,No,No Change,4,Neutral,3,Weekly,Good,North America
EMP0159,33,Male,Designer,Manufacturing,6,Onsite,50,14,3,Low,Depression,Yes,Increase,1,Unsatisfied,3,Daily,Average,South America
EMP0160,42,Non-binary,Software Engineer,Healthcare,14,Onsite,52,0,5,High,Burnout,No,Increase,2,Satisfied,3,Weekly,Good,Oceania
EMP0161,32,Female,Marketing,IT,34,Hybrid,37,1,4,Medium,Anxiety,No,Decrease,2,Satisfied,1,None,Average,Africa
EMP0162,32,Female,Data Scientist,Education,24,Hybrid,38,0,3,High,None,Yes,No Change,4,Neutral,1,None,Average,Africa
EMP0163,57,Prefer not to say,Designer,Consulting,3,Hybrid,55,11,1,High,Depression,No,Increase,1,Unsatisfied,2,Weekly,Poor,South America
EMP0164,28,Non-binary,Data Scientist,Manufacturing,5,Hybrid,53,14,1,Medium,None,No,Increase,3,Neutral,1,Weekly,Average,Africa
EMP0165,38,Male,Software Engineer,Healthcare,11,Onsite,20,13,1,Medium,Burnout,No,Increase,5,Neutral,1,None,Good,Oceania
EMP0166,52,Female,Software Engineer,Manufacturing,10,Hybrid,46,1,2,Low,Anxiety,Yes,Increase,1,Neutral,5,Daily,Poor,Africa
EMP0167,43,Non-binary,Software Engineer,Education,35,Onsite,30,8,2,Low,Depression,Yes,No Change,3,Satisfied,2,None,Average,Africa
EMP0168,39,Non-binary,Software Engineer,Retail,27,Remote,50,8,2,High,Anxiety,No,No Change,3,Satisfied,3,Daily,Poor,Asia
EMP0169,48,Prefer not to say,HR,Healthcare,15,Remote,50,13,2,Medium,None,Yes,No Change,3,Satisfied,2,Daily,Average,Europe
EMP0170,61,Prefer not to say,Project Manager,Manufacturing,10,Hybrid,50,0,1,Low,Burnout,Yes,Increase,5,Satisfied,3,Daily,Poor,Europe
EMP0171,43,Male,Designer,Retail,19,Remote,23,7,1,Low,None,No,Increase,4,Neutral,3,None,Poor,North America
EMP0172,41,Male,Data Scientist,Retail,33,Onsite,45,3,4,Medium,Depression,No,Decrease,3,Unsatisfied,4,None,Good,Europe
EMP0173,41,Non-binary,Software Engineer,Finance,11,Hybrid,25,4,1,Medium,Burnout,No,No Change,4,Satisfied,3,Weekly,Good,South America
EMP0174,53,Prefer not to say,Designer,Manufacturing,35,Remote,36,9,2,High,None,Yes,Increase,1,Neutral,4,Weekly,Good,North America
EMP0175,50,Non-binary,HR,Education,10,Onsite,60,3,2,Low,None,Yes,Decrease,3,Unsatisfied,5,Daily,Good,Europe
EMP0176,36,Prefer not to say,Project Manager,Healthcare,12,Remote,35,7,3,Low,Anxiety,Yes,No Change,5,Satisfied,4,Daily,Average,Europe
EMP0177,31,Prefer not to say,Marketing,Manufacturing,14,Hybrid,55,12,3,Medium,Depression,No,No Change,5,Satisfied,4,None,Good,North America
EMP0178,29,Female,Project Manager,Finance,31,Onsite,47,10,1,Medium,None,No,Decrease,3,Neutral,2,Weekly,Good,Europe
EMP0179,39,Female,HR,Healthcare,32,Hybrid,57,10,4,High,None,No,Increase,4,Satisfied,4,None,Good,South America
EMP0180,35,Non-binary,HR,Education,17,Hybrid,22,9,2,Medium,None,Yes,Decrease,3,Unsatisfied,1,None,Good,South America
EMP0181,60,Non-binary,Data Scientist,IT,22,Remote,43,5,1,Medium,Burnout,Yes,Decrease,5,Neutral,2,Daily,Poor,Europe
EMP0182,44,Non-binary,Marketing,Consulting,29,Remote,45,9,5,Low,None,Yes,Decrease,4,Unsatisfied,4,Weekly,Good,South America
EMP0183,34,Male,Designer,Healthcare,21,Onsite,56,14,2,Low,Burnout,Yes,Increase,4,Satisfied,1,Weekly,Average,Europe
EMP0184,45,Male,Data Scientist,IT,22,Onsite,46,14,3,High,Depression,No,No Change,3,Neutral,2,Daily,Good,Africa
EMP0185,42,Prefer not to say,HR,Manufacturing,13,Hybrid,60,0,5,Medium,Depression,No,Decrease,1,Neutral,2,Daily,Good,Europe
EMP0186,38,Non-binary,Designer,Consulting,12,Remote,32,9,1,Medium,Depression,No,No Change,1,Unsatisfied,1,None,Average,Asia
EMP0187,27,Non-binary,HR,Manufacturing,11,Hybrid,59,13,5,Medium,Anxiety,Yes,Decrease,5,Unsatisfied,4,Weekly,Average,Oceania
EMP0188,33,Prefer not to say,Software Engineer,Consulting,17,Onsite,60,13,5,High,None,No,No Change,5,Neutral,5,Daily,Good,Oceania
EMP0189,27,Prefer not to say,Data Scientist,IT,35,Hybrid,43,4,5,High,Burnout,No,No Change,2,Unsatisfied,3,Weekly,Average,Oceania
