Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0069,32,Female,Designer,Manufacturing,23,Onsite,47,8,2,High,Anxiety,Yes,Decrease,3,Unsatisfied,1,Daily,Average,South America
EMP0070,25,Female,Marketing,Finance,6,Remote,22,13,2,Low,None,No,No Change,3,Unsatisfied,1,Daily,Good,North America
EMP0071,43,Prefer not to say,Marketing,Consulting,23,Onsite,41,4,4,Medium,Anxiety,No,Increase,5,Satisfied,1,Weekly,Average,North America
EMP0072,50,Prefer not to say,Designer,Consulting,25,Remote,45,13,1,Medium,Depression,Yes,No Change,4,Satisfied,2,Weekly,Average,Oceania
EMP0073,28,Prefer not to say,Designer,Retail,15,Onsite,26,14,5,High,Burnout,Yes,No Change,4,Satisfied,1,Weekly,Good,Africa
EMP0074,23,Non-binary,Software Engineer,IT,29,Hybrid,44,7,3,High,Anxiety,Yes,Decrease,2,Unsatisfied,1,None,Poor,Africa
EMP0075,38,Prefer not to say,Project Manager,Consulting,35,Onsite,21,10,2,Medium,Burnout,No,No Change,4,Satisfied,3,Weekly,Poor,Africa
EMP0076,42,Male,Marketing,Retail,27,Onsite,30,3,5,High,Anxiety,Yes,No Change,4,Satisfied,3,None,Good,Asia
EMP0077,31,Non-binary,HR,Consulting,4,Onsite,49,8,4,High,Depression,No,No Change,2,Unsatisfied,2,Weekly,Good,Europe
EMP0078,28,Female,Marketing,Healthcare,25,Remote,21,10,5,Medium,Anxiety,Yes,No Change,5,Unsatisfied,1,Daily,Average,South America
EMP0079,29,Male,Data Scientist,Manufacturing,15,Remote,45,5,2,High,Burnout,Yes,Increase,4,Satisfied,1,Daily,Average,South America
EMP0080,27,Male,Project Manager,Consulting,21,Hybrid,27,7,5,Low,Burnout,No,No Change,5,Neutral,3,Weekly,Average,Asia
EMP0081,54,Female,Data Scientist,Education,5,Hybrid,42,10,3,High,Burnout,No,Decrease,4,Satisfied,4,None,Poor,Asia
EMP0082,42,Non-binary,Software Engineer,Finance,33,Onsite,42,9,4,High,Depression,Yes,Increase,4,Satisfied,2,Daily,Poor,South America
EMP0083,58,Prefer not to say,HR,Education,32,Hybrid,23,10,3,High,Depression,Yes,Increase,5,Neutral,2,Weekly,Good,North America
EMP0084,26,Female,Project Manager,Healthcare,15,Hybrid,42,6,4,High,Burnout,Yes,Increase,2,Unsatisfied,3,None,Poor,Europe
EMP0085,56,Male,Designer,Retail,9,Hybrid,22,14,4,Low,None,Yes,Decrease,4,Satisfied,5,None,Good,Oceania
EMP0086,50,Male,Designer,Finance,20,Hybrid,50,8,4,Low,Burnout,No,No Change,5,Satisfied,4,Daily,Poor,Asia
EMP0087,55,Prefer not to say,Project Manager,Manufacturing,10,Onsite,42,0,1,Low,Anxiety,No,Decrease,2,Unsatisfied,1,Weekly,Poor,North America
EMP0088,22,Prefer not to say,Data Scientist,Education,26,Hybrid,55,5,1,Medium,None,Yes,Increase,1,Unsatisfied,2,Weekly,Poor,Africa
EMP0089,24,Female,Designer,Consulting,11,Remote,26,0,5,High,Anxiety,Yes,Increase,5,Satisfied,2,None,Poor,North America
EMP0090,53,Prefer not to say,Marketing,Healthcare,23,Hybrid,51,4,4,Low,Depression,Yes,Increase,2,Unsatisfied,4,Daily,Poor,Oceania
EMP0091,57,Female,Data Scientist,Retail,2,Onsite,43,4,4,Medium,Depression,No,No Change,2,Unsatisfied,2,Weekly,Average,Africa
EMP0092,22,Female,Software Engineer,Manufacturing,9,Onsite,25,3,1,High,Burnout,No,Decrease,4,Unsatisfied,5,Weekly,Good,South America
EMP0093,41,Male,Data Scientist,IT,31,Onsite,26,0,5,Medium,Burnout,No,Increase,5,Unsatisfied,5,None,Poor,Asia
EMP0094,46,Non-binary,Data Scientist,Education,34,Remote,41,12,4,High,Depression,Yes,Decrease,5,Satisfied,4,None,Average,Europe
EMP0095,60,Non-binary,Project Manager,Education,11,Onsite,47,11,5,High,None,No,Decrease,4,Satisfied,4,Weekly,Average,Africa
EMP0096,44,Female,Project Manager,Manufacturing,2,Remote,48,8,5,Low,Burnout,No,Decrease,2,Unsatisfied,3,None,Good,Asia
EMP0097,35,Male,Data Scientist,Healthcare,31,Hybrid,26,11,1,High,Burnout,No,Decrease,5,Unsatisfied,5,Weekly,Poor,Africa
EMP0098,48,Male,Designer,IT,32,Hybrid,27,1,4,Low,Burnout,No,Increase,4,Satisfied,3,Weekly,Average,South America
EMP0099,31,Prefer not to say,Data Scientist,Healthcare,19,Onsite,50,15,1,Low,Burnout,No,No Change,2,Unsatisfied,5,Daily,Good,Asia
EMP0100,53,Male,Project Manager,IT,12,Hybrid,41,10,2,Medium,None,No,Decrease,5,Satisfied,4,Daily,Good,Africa
EMP0101,32,Prefer not to say,Designer,Manufacturing,32,Onsite,45,5,1,Medium,Depression,No,Increase,1,Unsatisfied,1,None,Poor,Asia
EMP0102,33,Prefer not to say,Sales,Consulting,9,Hybrid,23,12,1,High,Burnout,No,Increase,4,Neutral,2,Daily,Poor,Africa
EMP0103,45,Prefer not to say,Sales,IT,3,Hybrid,43,9,4,High,Burnout,No,No Change,2,Unsatisfied,4,None,Good,Africa
EMP0104,50,Male,Software Engineer,Finance,18,Hybrid,46,12,4,High,Depression,Yes,Increase,4,Satisfied,5,None,Good,Africa
EMP0105,41,Female,Designer,Education,30,Hybrid,30,2,4,Low,Depression,Yes,Decrease,4,Unsatisfied,3,Weekly,Average,Africa
EMP0106,43,Non-binary,Data Scientist,Healthcare,18,Onsite,29,2,3,High,Burnout,Yes,Increase,4,Satisfied,3,Daily,Good,South America
EMP0107,29,Prefer not to say,HR,IT,25,Onsite,46,14,1,Medium,Anxiety,Yes,Decrease,1,Unsatisfied,2,Daily,Good,South America
EMP0108,44,Prefer not to say,Software Engineer,Healthcare,27,Hybrid,28,2,2,High,Anxiety,No,Decrease,4,Satisfied,5,Weekly,Poor,Europe
EMP0109,50,Prefer not to say,Software Engineer,Healthcare,2,Remote,43,2,4,Medium,Burnout,No,No Change,1,Unsatisfied,2,Weekly,Poor,Oceania
EMP0110,36,Male,Data Scientist,Finance,4,Remote,43,7,5,Low,Burnout,No,No Change,2,Unsatisfied,5,Daily,Good,Asia
EMP0111,34,Female,Data Scientist,Education,29,Hybrid,51,13,3,High,Anxiety,Yes,Increase,3,Unsatisfied,5,Weekly,Average,Africa
EMP0112,49,Male,HR,Finance,30,Remote,41,8,5,Low,Burnout,No,Decrease,4,Satisfied,1,Weekly,Good,Africa
EMP0113,45,Female,Marketing,Retail,10,Remote,42,7,1,Low,Depression,Yes,Increase,3,Unsatisfied,5,None,Poor,Europe
EMP0114,45,Prefer not to say,Data Scientist,Retail,21,Onsite,21,0,3,Low,None,Yes,Decrease,5,Unsatisfied,5,Daily,Poor,Europe
EMP0115,53,Female,Designer,Healthcare,25,Remote,28,5,2,High,Anxiety,No,No Change,4,Neutral,3,None,Poor,Oceania
EMP0116,29,Male,Marketing,Education,35,Onsite,20,1,3,Medium,Anxiety,Yes,No Change,5,Neutral,3,Weekly,Good,South America
EMP0117,34,Prefer not to say,Project Manager,Finance,5,Onsite,23,14,3,Medium,Burnout,No,Increase,3,Unsatisfied,3,Daily,Good,North America
EMP0118,58,Female,Data Scientist,Education,25,Remote,20,13,2,High,Burnout,No,Increase,4,Unsatisfied,3,Daily,Good,Europe
EMP0119,38,Female,Data Scientist,Manufacturing,1,Hybrid,51,4,2,Medium,Burnout,Yes,Increase,1,Unsatisfied,3,Daily,Average,Europe
EMP0120,40,Prefer not to say,Project Manager,Consulting,27,Hybrid,42,13,2,Medium,None,Yes,Decrease,2,Unsatisfied,5,Daily,Average,Africa
EMP0121,45,Prefer not to say,Project Manager,Manufacturing,29,Onsite,48,13,2,High,Anxiety,No,Decrease,5,Satisfied,5,Daily,Average,South America
EMP0122,43,Non-binary,Marketing,Retail,18,Hybrid,20,6,5,High,Depression,Yes,No Change,5,Satisfied,3,None,Good,Europe
EMP0123,50,Male,Software Engineer,Healthcare,35,Onsite,41,10,2,High,Anxiety,Yes,No Change,4,Satisfied,1,None,Good,Africa
EMP0124,58,Prefer not to say,Sales,Consulting,14,Onsite,42,7,2,Low,None,Yes,Increase,1,Unsatisfied,5,Weekly,Average,North America
EMP0125,42,Non-binary,HR,Manufacturing,27,Remote,41,14,2,High,Depression,Yes,No Change,5,Satisfied,4,Daily,Average,South America
EMP0126,53,Prefer not to say,Data Scientist,Finance,27,Hybrid,25,1,3,Low,Burnout,No,Increase,4,Satisfied,4,None,Average,South America
EMP0127,36,Female,Marketing,Retail,8,Onsite,47,2,2,Medium,Burnout,Yes,Decrease,2,Unsatisfied,1,Daily,Good,North America
EMP0128,51,Female,Project Manager,Finance,21,Remote,42,0,5,High,None,Yes,Decrease,2,Unsatisfied,2,None,Average,Europe
EMP0129,27,Female,Designer,Consulting,15,Onsite,41,12,4,Medium,Burnout,No,No Change,5,Satisfied,2,Daily,Poor,Europe
EMP0130,22,Female,Sales,Retail,21,Hybrid,42,2,3,Low,None,Yes,Decrease,1,Unsatisfied,3,None,Average,Oceania
EMP0131,32,Female,Designer,Education,16,Remote,43,9,1,Medium,None,No,No Change,3,Unsatisfied,5,Weekly,Good,Africa
EMP0132,32,Female,Marketing,Manufacturing,26,Remote,48,15,5,Low,Burnout,Yes,Increase,1,Unsatisfied,4,Weekly,Average,Africa
EMP0133,53,Male,Marketing,Retail,4,Onsite,41,10,3,Medium,None,No,No Change,5,Satisfied,2,Weekly,Good,South America
EMP0134,26,Non-binary,Marketing,Manufacturing,29,Hybrid,26,4,1,Low,None,Yes,Decrease,4,Unsatisfied,2,Weekly,Good,Europe
EMP0135,60,Male,Marketing,Finance,2,Hybrid,21,1,4,Medium,None,No,Increase,5,Satisfied,2,Weekly,Poor,Oceania
EMP0136,51,Non-binary,Marketing,IT,26,Remote,43,4,5,Medium,Burnout,No,Increase,5,Satisfied,5,None,Good,Oceania
EMP0137,44,Male,Data Scientist,Healthcare,14,Remote,45,9,2,High,Burnout,No,No Change,2,Unsatisfied,5,Daily,Good,South America
EMP0138,48,Non-binary,Sales,IT,10,Remote,59,4,4,Medium,None,Yes,No Change,4,Satisfied,5,Weekly,Poor,Oceania
EMP0139,57,Non-binary,Data Scientist,Education,34,Remote,44,11,3,High,None,No,Increase,1,Unsatisfied,5,None,Poor,North America
EMP0140,49,Non-binary,Project Manager,Education,11,Hybrid,27,3,5,Low,Anxiety,Yes,Decrease,5,Neutral,1,Weekly,Average,Asia
EMP0141,32,Non-binary,Project Manager,Education,12,Onsite,30,13,1,High,Anxiety,Yes,Decrease,5,Satisfied,5,Weekly,Poor,Africa
EMP0142,49,Female,Project Manager,Healthcare,29,Hybrid,56,15,5,Low,Burnout,Yes,Decrease,1,Unsatisfied,4,None,Poor,Asia
EMP0143,23,Female,Designer,Manufacturing,11,Hybrid,45,0,5,High,None,No,No Change,1,Unsatisfied,1,Weekly,Poor,Europe
EMP0144,55,Prefer not to say,Designer,Finance,3,Onsite,42,6,5,Low,Burnout,No,No Change,4,Satisfied,2,Daily,Good,North America
EMP0145,47,Non-binary,HR,Education,18,Remote,42,15,5,High,Anxiety,No,No Change,5,Satisfied,2,Daily,Average,Asia
EMP0146,48,Non-binary,Marketing,Consulting,5,Remote,44,8,3,Medium,Depression,Yes,Decrease,1,Unsatisfied,4,Weekly,Poor,Europe
EMP0147,36,Prefer not to say,Software Engineer,Healthcare,3,Hybrid,44,12,2,Low,Depression,No,Increase,4,Satisfied,3,Daily,Average,Africa
EMP0148,45,Male,Designer,Finance,14,Remote,50,10,1,Low,Anxiety,Yes,No Change,1,Unsatisfied,5,Daily,Average,North America
EMP0149,41,Female,Designer,IT,10,Onsite,44,8,4,High,Depression,Yes,Decrease,1,Unsatisfied,4,Daily,Good,Oceania
EMP0150,50,Male,Designer,Consulting,17,Onsite,45,11,2,Low,Burnout,Yes,Decrease,2,Unsatisfied,3,Weekly,Good,Oceania
EMP0151,41,Female,Software Engineer,Consulting,34,Remote,43,15,3,High,Anxiety,Yes,Decrease,2,Unsatisfied,3,Weekly,Average,Oceania
EMP0152,57,Female,Designer,Consulting,20,Remote,20,6,4,Low,Burnout,No,No Change,4,Neutral,4,Daily,Poor,Oceania
EMP0153,30,Male,Software Engineer,Healthcare,29,Hybrid,50,15,1,Medium,Burnout,No,Increase,3,Unsatisfied,2,Weekly,Poor,Africa
EMP0154,23,Female,Data Scientist,Consulting,31,Remote,22,9,1,Medium,Depression,Yes,No Change,4,Satisfied,2,None,Poor,Asia
EMP0155,30,Male,Software Engineer,Consulting,17,Remote,45,5,1,Low,None,Yes,No Change,5,Satisfied,4,Weekly,Average,North America
EMP0156,47,Female,Project Manager,Healthcare,31,Onsite,26,8,1,Low,None,No,Decrease,4,Satisfied,1,None,Good,North America
EMP0157,33,Prefer not to say,Project Manager,Finance,23,Hybrid,41,0,4,High,None,No,Decrease,5,Satisfied,2,Weekly,Average,South America
EMP0158,32,Male,Data Scientist,Finance,21,Hybrid,23,15,3,High,Depression,No,No Change,5,Unsatisfied,3,Weekly,Good,North America
EMP0159,43,Male,Designer,Manufacturing,6,Onsite,45,14,3,Low,Depression,Yes,Increase,2,Unsatisfied,3,Daily,Average,South America
EMP0160,43,Non-binary,Software Engineer,Healthcare,14,Onsite,22,0,5,High,Burnout,No,Increase,4,Neutral,3,Weekly,Good,Oceania
EMP0161,35,Female,Marketing,IT,34,Hybrid,41,1,4,Medium,Anxiety,No,Decrease,4,Satisfied,1,None,Average,Africa
EMP0162,40,Female,Data Scientist,Education,24,Hybrid,21,0,3,High,None,Yes,No Change,5,Satisfied,1,None,Average,Africa
EMP0163,29,Prefer not to say,Designer,Consulting,3,Hybrid,43,11,1,High,Depression,No,Increase,5,Satisfied,2,Weekly,Poor,South America
EMP0164,24,Non-binary,Data Scientist,Manufacturing,5,Hybrid,29,14,1,Medium,None,No,Increase,4,Unsatisfied,1,Weekly,Average,Africa
EMP0165,40,Male,Software Engineer,Healthcare,11,Onsite,43,13,1,Medium,Burnout,No,Increase,5,Satisfied,1,None,Good,Oceania
EMP0166,22,Female,Software Engineer,Manufacturing,10,Hybrid,42,1,2,Low,Anxiety,Yes,Increase,3,Unsatisfied,5,Daily,Poor,Africa
EMP0167,48,Non-binary,Software Engineer,Education,35,Onsite,53,8,2,Low,Depression,Yes,No Change,3,Unsatisfied,2,None,Average,Africa
EMP0168,60,Non-binary,Software Engineer,Retail,27,Remote,42,8,2,High,Anxiety,No,No Change,1,Unsatisfied,3,Daily,Poor,Asia
EMP0169,34,Prefer not to say,HR,Healthcare,15,Remote,44,13,2,Medium,None,Yes,No Change,4,Satisfied,2,Daily,Average,Europe
EMP0170,50,Prefer not to say,Project Manager,Manufacturing,10,Hybrid,21,0,1,Low,Burnout,Yes,Increase,5,Satisfied,3,Daily,Poor,Europe
EMP0171,38,Male,Designer,Retail,19,Remote,45,7,1,Low,None,No,Increase,2,Unsatisfied,3,None,Poor,North America
EMP0172,36,Male,Data Scientist,Retail,33,Onsite,46,3,4,Medium,Depression,No,Decrease,4,Satisfied,4,None,Good,Europe
EMP0173,35,Non-binary,Software Engineer,Finance,11,Hybrid,51,4,1,Medium,Burnout,No,No Change,1,Unsatisfied,3,Weekly,Good,South America
EMP0174,25,Prefer not to say,Designer,Manufacturing,35,Remote,42,9,2,High,None,Yes,Increase,5,Satisfied,4,Weekly,Good,North America
EMP0175,34,Non-binary,HR,Education,10,Onsite,59,3,2,Low,None,Yes,Decrease,2,Unsatisfied,5,Daily,Good,Europe
EMP0176,32,Prefer not to say,Project Manager,Healthcare,12,Remote,49,7,3,Low,Anxiety,Yes,No Change,4,Satisfied,4,Daily,Average,Europe
EMP0177,58,Prefer not to say,Marketing,Manufacturing,14,Hybrid,47,12,3,Medium,Depression,No,No Change,2,Unsatisfied,4,None,Good,North America
EMP0178,40,Female,Project Manager,Finance,31,Onsite,49,10,1,Medium,None,No,Decrease,1,Unsatisfied,2,Weekly,Good,Europe
EMP0179,56,Female,HR,Healthcare,32,Hybrid,41,10,4,High,None,No,Increase,4,Satisfied,4,None,Good,South America
EMP0180,44,Non-binary,HR,Education,17,Hybrid,47,9,2,Medium,None,Yes,Decrease,2,Unsatisfied,1,None,Good,South America
EMP0181,30,Non-binary,Data Scientist,IT,22,Remote,49,5,1,Medium,Burnout,Yes,Decrease,1,Unsatisfied,2,Daily,Poor,Europe
EMP0182,49,Non-binary,Marketing,Consulting,29,Remote,44,9,5,Low,None,Yes,Decrease,2,Unsatisfied,4,Weekly,Good,South America
EMP0183,26,Male,Designer,Healthcare,21,Onsite,49,14,2,Low,Burnout,Yes,Increase,2,Unsatisfied,1,Weekly,Average,Europe
EMP0184,52,Male,Data Scientist,IT,22,Onsite,22,14,3,High,Depression,No,No Change,4,Unsatisfied,2,Daily,Good,Africa
EMP0185,24,Prefer not to say,HR,Manufacturing,13,Hybrid,43,0,5,Medium,Depression,No,Decrease,1,Unsatisfied,2,Daily,Good,Europe
EMP0186,40,Non-binary,Designer,Consulting,12,Remote,30,9,1,Medium,Depression,No,No Change,4,Neutral,1,None,Average,Asia
EMP0187,57,Non-binary,HR,Manufacturing,11,Hybrid,24,13,5,Medium,Anxiety,Yes,Decrease,4,Satisfied,4,Weekly,Average,Oceania
EMP0188,23,Prefer not to say,Software Engineer,Consulting,17,Onsite,48,13,5,High,None,No,No Change,2,Unsatisfied,5,Daily,Good,Oceania
